iter	Passed	Remaining
0	1	126
1	2	131
2	3	127
3	4	119
4	6	118
5	7	114
6	8	115
7	9	114
8	11	114
9	12	112
10	13	109
11	14	106
12	15	103
13	16	102
14	18	102
15	19	100
16	20	98
17	21	96
18	22	94
19	23	93
20	24	91
21	25	89
22	26	88
23	27	86
24	28	85
25	29	83
26	30	81
27	31	79
28	31	78
29	32	76
30	33	74
31	34	73
32	35	71
33	36	70
34	37	68
35	37	67
36	38	65
37	39	64
38	40	63
39	41	61
40	42	60
41	42	58
42	43	57
43	44	56
44	45	55
45	45	53
46	46	52
47	47	51
48	48	50
49	49	49
50	50	48
51	51	47
52	52	46
53	52	44
54	53	43
55	54	42
56	55	41
57	56	40
58	56	39
59	57	38
60	58	37
61	59	36
62	60	35
63	61	34
64	62	33
65	63	32
66	64	31
67	65	30
68	66	29
69	66	28
70	67	27
71	68	26
72	69	25
73	70	24
74	71	23
75	72	22
76	73	21
77	74	21
78	75	20
79	76	19
80	77	18
81	78	17
82	79	16
83	80	15
84	80	14
85	81	13
86	82	12
87	83	11
88	84	10
89	85	9
90	86	8
91	87	7
92	88	6
93	89	5
94	90	4
95	91	3
96	92	2
97	92	1
98	94	0
99	94	0
