iter	Passed	Remaining
0	138	138267
1	139	69472
2	139	46482
3	140	34958
4	140	28056
5	141	23452
6	142	20156
7	142	17688
8	143	15763
9	143	14225
10	144	12969
11	144	11916
12	145	11029
13	145	10266
14	146	9608
15	146	9031
16	147	8522
17	147	8071
18	148	7662
19	148	7294
20	149	6967
21	150	6669
22	150	6399
23	151	6153
24	152	5930
25	152	5720
26	153	5528
27	154	5358
28	155	5194
29	155	5041
30	156	4893
31	157	4754
32	158	4630
33	158	4511
34	159	4403
35	160	4295
36	161	4193
37	161	4095
38	162	4003
39	163	3916
40	164	3836
41	164	3759
42	165	3685
43	166	3617
44	167	3550
45	168	3491
46	169	3432
47	170	3372
48	170	3315
49	171	3260
50	172	3208
51	173	3156
52	173	3104
53	174	3056
54	175	3009
55	175	2963
56	176	2919
57	177	2875
58	177	2834
59	178	2793
60	178	2754
61	179	2716
62	180	2679
63	180	2643
64	181	2611
65	182	2579
66	183	2549
67	183	2517
68	184	2487
69	185	2459
70	185	2430
71	186	2401
72	186	2373
73	187	2346
74	188	2319
75	188	2294
76	189	2268
77	189	2245
78	190	2221
79	191	2197
80	191	2173
81	192	2151
82	192	2126
83	193	2105
84	193	2084
85	194	2063
86	194	2044
87	195	2024
88	196	2006
89	196	1989
90	197	1971
91	197	1954
92	198	1936
93	199	1919
94	199	1903
95	200	1886
96	200	1869
97	201	1854
98	202	1838
99	202	1823
100	203	1808
101	203	1794
102	204	1779
103	204	1765
104	205	1750
105	205	1736
106	206	1723
107	207	1709
108	207	1696
109	208	1684
110	208	1671
111	209	1658
112	209	1646
113	210	1634
114	210	1623
115	211	1612
116	212	1600
117	212	1590
118	213	1579
119	214	1569
120	214	1560
121	215	1549
122	215	1539
123	216	1528
124	217	1519
125	217	1509
126	218	1498
127	218	1489
128	219	1480
129	219	1470
130	220	1461
131	220	1452
132	221	1443
133	222	1435
134	222	1426
135	223	1419
136	223	1410
137	224	1402
138	225	1394
139	225	1386
140	226	1379
141	226	1370
142	227	1363
143	228	1357
144	229	1351
145	229	1344
146	230	1336
147	230	1328
148	231	1321
149	232	1315
150	232	1308
151	233	1301
152	233	1294
153	234	1287
154	234	1280
155	235	1273
156	236	1267
157	236	1260
158	237	1254
159	237	1247
160	238	1240
161	238	1234
162	239	1228
163	239	1222
164	240	1216
165	240	1210
166	241	1204
167	242	1199
168	242	1194
169	243	1188
170	244	1183
171	244	1177
172	245	1172
173	245	1167
174	246	1161
175	247	1156
176	247	1151
177	248	1146
178	248	1140
179	249	1135
180	249	1129
181	250	1124
182	250	1119
183	251	1114
184	251	1109
185	252	1104
186	252	1099
187	253	1094
188	253	1089
189	254	1084
190	255	1080
191	255	1076
192	256	1072
193	257	1067
194	257	1063
195	258	1059
196	259	1055
197	259	1052
198	260	1048
199	261	1044
200	261	1040
201	262	1036
202	263	1032
203	263	1028
204	264	1025
205	264	1021
206	265	1017
207	266	1013
208	266	1009
209	267	1006
210	268	1002
211	268	999
212	269	995
213	269	991
214	270	988
215	271	985
216	272	982
217	272	978
218	273	975
219	274	972
220	274	968
221	275	965
222	276	961
223	276	958
224	277	955
225	277	952
226	278	948
227	279	945
228	279	941
229	280	938
230	280	935
231	281	931
232	282	928
233	282	924
234	283	921
235	283	918
236	284	915
237	284	911
238	285	908
239	285	905
240	286	902
241	287	899
242	287	896
243	288	893
244	289	890
245	289	887
246	290	884
247	290	882
248	291	878
249	292	876
250	292	873
251	293	870
252	293	867
253	294	864
254	295	862
255	295	859
256	296	856
257	296	854
258	297	851
259	298	848
260	298	846
